VERSION 20070824
PCIDEV 0000 80865af0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
PCIDEV 0010 80865a84 86 91000004 0 8000000c 0 f001 0 c0002 1000000 0 10000000 0 40 0 20000 i915
PCIDEV 0018 80865a88 15 90000004 0 0 0 0 0 0 1000000 0 0 0 0 0 0 
PCIDEV 0078 80865a9a 85 92323004 0 0 0 0 0 0 1000 0 0 0 0 0 0 mei_me
PCIDEV 0090 80865ae3 7e 92310000 92322000 f091 f081 f061 92321000 0 2000 100 8 4 20 800 0 ahci
PCIDEV 0098 80865ad8 78 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 0099 80865ad9 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 009a 80865ada 7a 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 009b 80865adb 7b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 00a0 80865ad6 7c 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 00a1 80865ad7 7d 0 0 0 0 0 0 0 0 0 0 0 0 0 0 pcieport
PCIDEV 00a8 80865aa8 84 92300004 0 0 0 0 0 0 10000 0 0 0 0 0 0 xhci_hcd
PCIDEV 00b0 80865aac 1b 92320004 0 9231f004 0 0 0 0 1000 0 1000 0 0 0 0 intel-lpss
PCIDEV 00b3 80865ab2 1e 9231e004 0 9231d004 0 0 0 0 1000 0 1000 0 0 0 0 intel-lpss
PCIDEV 00b8 80865ab4 1f 9231c004 0 9231b004 0 0 0 0 1000 0 1000 0 0 0 0 intel-lpss
PCIDEV 00bb 80865aba 22 9231a004 0 92319004 0 0 0 0 1000 0 1000 0 0 0 0 intel-lpss
PCIDEV 00c0 80865abc 4 92318004 0 92317004 0 0 0 0 1000 0 1000 0 0 0 0 intel-lpss
PCIDEV 00c2 80865ac0 6 92316004 0 92315004 0 0 0 0 1000 0 1000 0 0 0 0 intel-lpss
PCIDEV 00d0 80865ac8 ff 92314004 0 92313004 0 0 0 0 1000 0 1000 0 0 0 0 
PCIDEV 00f8 80865ae8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 lpc_ich
PCIDEV 00f9 80865ad4 14 92312004 0 0 0 f041 0 0 100 0 0 0 20 0 0 i801_smbus
PCIDEV 0100 80861539 16 92200000 0 e001 92220000 0 0 0 20000 0 20 4000 0 0 0 igb
PCIDEV 0200 168c003e 87 92000004 0 0 0 0 0 0 200000 0 0 0 0 0 0 ath10k_pci
MAP 1037.681661 1 0x90000000 0xffffb7b187000000 0x1000000 0x0 0
R 4 1037.681772 1 0x90000300 0x37002 0x0 0
R 4 1037.681775 1 0x90000008 0xfff0fff 0x0 0
W 4 1037.681777 1 0x9000009c 0x17 0x0 0
W 4 1037.681779 1 0x90000098 0x17 0x0 0
R 4 1037.681781 1 0x9000000c 0x10 0x0 0
R 4 1037.681783 1 0x9000030c 0x0 0x0 0
W 4 1037.681785 1 0x9000030c 0x0 0x0 0
W 4 1037.681786 1 0x90000108 0x1 0x0 0
R 4 1037.682302 1 0x9000030c 0x1 0x0 0
W 4 1037.682326 1 0x9000030c 0x5 0x0 0
W 4 1037.682347 1 0x90000108 0x1 0x0 0
R 4 1037.682874 1 0x9000030c 0x3 0x0 0
W 4 1037.682879 1 0x9000030c 0x3 0x0 0
W 4 1037.682881 1 0x90000108 0x4 0x0 0
R 4 1037.683391 1 0x9000030c 0x2 0x0 0
W 4 1037.683396 1 0x9000030c 0x2 0x0 0
W 4 1037.683398 1 0x90000304 0x0 0x0 0
W 4 1037.683400 1 0x9000030c 0x3c 0x0 0
W 4 1037.683401 1 0x90000108 0x2 0x0 0
R 4 1037.683710 1 0x9000030c 0x0 0x0 0
W 4 1037.802272 1 0x90000034 0x80000004 0x0 0
R 4 1037.802346 1 0x9000005c 0xa72433 0x0 0
W 4 1037.802382 1 0x90000034 0x0 0x0 0
R 4 1037.802388 1 0x9000005c 0x72443 0x0 0
W 4 1037.802414 1 0x90000034 0x80000004 0x0 0
R 4 1037.802435 1 0x9000005c 0xa72433 0x0 0
W 4 1037.802456 1 0x90000038 0x80001212 0x0 0
R 4 1037.802477 1 0x9000005c 0x1a72433 0x0 0
R 4 1037.802645 1 0x9000005c 0xfa72333 0x0 0
W 4 1037.802670 1 0x904b0004 0x12155 0x0 0
W 4 1037.802690 1 0x904b0008 0x10 0x0 0
W 4 1037.802710 1 0x904b0104 0x12155 0x0 0
W 4 1037.802735 1 0x904b0108 0x0 0x0 0
W 4 1037.802756 1 0x904b010c 0x0 0x0 0
W 4 1037.802776 1 0x904b0200 0x0 0x0 0
W 4 1037.802795 1 0x904b0204 0x0 0x0 0
W 4 1037.802815 1 0x904b0208 0x0 0x0 0
W 4 1037.802835 1 0x904b0210 0x0 0x0 0
W 4 1037.802854 1 0x904b0110 0x0 0x0 0
W 4 1037.802874 1 0x904b0220 0x0 0x0 0
W 4 1037.802894 1 0x904b0224 0x0 0x0 0
W 4 1037.802913 1 0x904b0228 0x0 0x0 0
W 4 1037.802933 1 0x904b0230 0x0 0x0 0
W 4 1037.802953 1 0x904b0114 0x0 0x0 0
W 4 1037.802972 1 0x904b0240 0x0 0x0 0
W 4 1037.802992 1 0x904b0244 0x0 0x0 0
W 4 1037.803012 1 0x904b0248 0x0 0x0 0
W 4 1037.803031 1 0x904b0250 0x0 0x0 0
W 4 1037.803051 1 0x904b0118 0x0 0x0 0
W 4 1037.803071 1 0x904b0260 0x0 0x0 0
W 4 1037.803091 1 0x904b0264 0x0 0x0 0
W 4 1037.803110 1 0x904b0268 0x0 0x0 0
W 4 1037.803130 1 0x904b0270 0x0 0x0 0
W 4 1037.803149 1 0x904b011c 0x0 0x0 0
W 4 1037.803169 1 0x904b0280 0x1 0x0 0
W 4 1037.803189 1 0x904b0284 0x1 0x0 0
W 4 1037.803208 1 0x904b0288 0x3 0x0 0
W 4 1037.803228 1 0x904b0290 0x0 0x0 0
W 4 1037.803248 1 0x904b0120 0xa 0x0 0
W 4 1037.803281 1 0x904b02a0 0x1 0x0 0
W 4 1037.803302 1 0x904b02a4 0x1 0x0 0
W 4 1037.803323 1 0x904b02a8 0x3 0x0 0
W 4 1037.803343 1 0x904b02b0 0x0 0x0 0
W 4 1037.803363 1 0x904b0124 0x12 0x0 0
W 4 1037.803383 1 0x904b02c0 0x1 0x0 0
W 4 1037.803403 1 0x904b02c4 0x1 0x0 0
W 4 1037.803423 1 0x904b02c8 0x3 0x0 0
W 4 1037.803442 1 0x904b02d0 0x0 0x0 0
W 4 1037.803462 1 0x904b0128 0x1c 0x0 0
W 4 1037.803482 1 0x904b02e0 0x1 0x0 0
W 4 1037.803521 1 0x904b02e4 0x1 0x0 0
W 4 1037.803541 1 0x904b02e8 0x3 0x0 0
W 4 1037.803561 1 0x904b02f0 0x0 0x0 0
W 4 1037.803581 1 0x904b012c 0x24 0x0 0
W 4 1037.803601 1 0x904b0300 0x0 0x0 0
W 4 1037.803620 1 0x904b0304 0x0 0x0 0
W 4 1037.803640 1 0x904b0308 0x0 0x0 0
W 4 1037.803660 1 0x904b0310 0x0 0x0 0
W 4 1037.803680 1 0x904b0130 0x24 0x0 0
W 4 1037.803699 1 0x904b0320 0x1 0x0 0
W 4 1037.803719 1 0x904b0324 0x1 0x0 0
W 4 1037.803739 1 0x904b0328 0x3 0x0 0
W 4 1037.803759 1 0x904b0330 0x0 0x0 0
W 4 1037.803778 1 0x904b0134 0x28 0x0 0
W 4 1037.803798 1 0x904b0340 0x1 0x0 0
W 4 1037.803820 1 0x904b0344 0x1 0x0 0
W 4 1037.803840 1 0x904b0348 0x1 0x0 0
W 4 1037.803860 1 0x904b0350 0x0 0x0 0
W 4 1037.803880 1 0x904b0138 0x2c 0x0 0
W 4 1037.803900 1 0x904b0360 0x1 0x0 0
W 4 1037.803920 1 0x904b0364 0x1 0x0 0
W 4 1037.803940 1 0x904b0368 0x3 0x0 0
W 4 1037.803961 1 0x904b0370 0x0 0x0 0
W 4 1037.803980 1 0x904b013c 0x38 0x0 0
W 4 1037.804000 1 0x904b0380 0x0 0x0 0
W 4 1037.804020 1 0x904b0384 0x0 0x0 0
W 4 1037.804039 1 0x904b0388 0x0 0x0 0
W 4 1037.804059 1 0x904b0390 0x0 0x0 0
W 4 1037.804079 1 0x904b0140 0x38 0x0 0
W 4 1037.804098 1 0x904b03a0 0x0 0x0 0
W 4 1037.804118 1 0x904b03a4 0x0 0x0 0
W 4 1037.804138 1 0x904b03a8 0x0 0x0 0
W 4 1037.804157 1 0x904b03b0 0x0 0x0 0
W 4 1037.804177 1 0x904b0144 0x38 0x0 0
W 4 1037.804197 1 0x904b03c0 0x0 0x0 0
W 4 1037.804217 1 0x904b03c4 0x0 0x0 0
W 4 1037.804236 1 0x904b03c8 0x0 0x0 0
W 4 1037.804256 1 0x904b03d0 0x0 0x0 0
W 4 1037.804276 1 0x904b0148 0x38 0x0 0
W 4 1037.804295 1 0x904b03e0 0x0 0x0 0
W 4 1037.804315 1 0x904b03e4 0x0 0x0 0
W 4 1037.804337 1 0x904b03e8 0x0 0x0 0
W 4 1037.804357 1 0x904b03f0 0x0 0x0 0
W 4 1037.804377 1 0x904b0400 0x1 0x0 0
W 4 1037.804397 1 0x904b014c 0x0 0x0 0
W 4 1037.804417 1 0x904b0150 0x2 0x0 0
W 4 1037.804437 1 0x904b0154 0x4 0x0 0
W 4 1037.804457 1 0x904b0158 0x6 0x0 0
W 4 1037.804477 1 0x904b015c 0x8 0x0 0
W 4 1037.804512 1 0x904b0160 0xa 0x0 0
W 4 1037.804533 1 0x904b0164 0xc 0x0 0
W 4 1037.804553 1 0x904b0168 0xe 0x0 0
W 4 1037.804573 1 0x904b016c 0x10 0x0 0
W 4 1037.804593 1 0x904b0170 0x12 0x0 0
W 4 1037.804613 1 0x904b0174 0x14 0x0 0
W 4 1037.804632 1 0x904b0178 0x16 0x0 0
W 4 1037.804652 1 0x904b017c 0x18 0x0 0
W 4 1037.804672 1 0x904b0180 0x1a 0x0 0
W 4 1037.804692 1 0x904b0184 0x1c 0x0 0
W 4 1037.804711 1 0x904b0188 0x1e 0x0 0
W 4 1037.804731 1 0x904b0604 0x12155 0x0 0
W 4 1037.804751 1 0x904b0608 0x0 0x0 0
